id,company_name,broad_sector,roce_percentage,sector_average_roce,roce_difference,anomaly
ABB,Abbott India Ltd,Industrials,46.0,22.375999999999998,23.624000000000002,True
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.0,21.962142857142855,-12.962142857142855,False
ADANIENT,Adani Enterprises Ltd,Industrials,11.6,22.375999999999998,-10.775999999999998,False
ADANIGREEN,Adani Green Energy Ltd,Energy,96.5,21.962142857142855,74.53785714285715,True
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,12.9,22.375999999999998,-9.475999999999997,False
ADANIPOWER,Adani Power Ltd,Energy,32.2,21.962142857142855,10.237857142857148,False
AMBUJACEM,Ambuja Cements Ltd,Materials,12.8,23.058888888888887,-10.258888888888887,False
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,17.2,20.583333333333332,-3.383333333333333,False
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,41.75,23.058888888888887,18.691111111111113,False
ATGL,Adani Total Gas Ltd,Energy,21.2,21.962142857142855,-0.7621428571428552,False
AXISBANK,Axis Bank Ltd,Financials,7.06,11.713478260869564,-4.653478260869565,False
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,33.5,26.38076923076923,7.1192307692307715,False
BAJAJFINSV,Bajaj Finserv Ltd,Financials,21.14,11.713478260869564,9.426521739130436,False
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,13.1,11.713478260869564,1.3865217391304352,False
BAJFINANCE,Bajaj Finance Ltd,Financials,11.9,11.713478260869564,0.1865217391304359,False
BANKBARODA,Bank of Baroda,Financials,6.33,11.713478260869564,-5.383478260869564,False
BEL,Bharat Electronics Ltd,Industrials,34.6,22.375999999999998,12.224000000000004,False
BHARTIARTL,Bharti Airtel Ltd,Communication Services,13.1,8.375,4.725,False
BHEL,"Bharat Heavy Electricals Limited
",Industrials,3.28,22.375999999999998,-19.095999999999997,False
BOSCHLTD,Bosch Ltd,Consumer Discretionary,20.6,26.38076923076923,-5.780769230769227,False
BPCL,Bharat Petroleum Corporation Ltd,Energy,32.1,21.962142857142855,10.137857142857147,False
BRITANNIA,Britannia Industries Ltd,Consumer Staples,48.9,50.81142857142857,-1.9114285714285728,False
CANBK,Canara Bank,Financials,6.63,11.713478260869564,-5.083478260869565,False
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,10.4,11.713478260869564,-1.313478260869564,False
CIPLA,"Cipla Ltd
",Healthcare,22.8,20.583333333333332,2.2166666666666686,False
COALINDIA,Coal India Ltd,Materials,63.6,23.058888888888887,40.541111111111114,True
DABUR,Dabur India Ltd,Consumer Staples,22.3,50.81142857142857,-28.51142857142857,True
DIVISLAB,Divis Laboratories Ltd,Healthcare,16.5,20.583333333333332,-4.083333333333332,False
DLF,DLF Ltd,Real Estate,5.74,8.42,-2.6799999999999997,False
DMART,Avenue Supermarts Ltd,Consumer Discretionary,19.4,26.38076923076923,-6.98076923076923,False
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,26.5,20.583333333333332,5.916666666666668,False
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,31.1,26.38076923076923,4.719230769230773,False
GAIL,GAIL (India) Ltd,Energy,14.7,21.962142857142855,-7.262142857142855,False
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,26.49,50.81142857142857,-24.321428571428573,True
GRASIM,Grasim Industries Ltd,Industrials,9.3,22.375999999999998,-13.075999999999997,False
HAL,Hindustan Aeronautics Ltd,Industrials,38.9,22.375999999999998,16.524,False
HAVELLS,Havells India Ltd,Industrials,24.4,22.375999999999998,2.024000000000001,False
HCLTECH,HCL Technologies Ltd,Information Technology,29.6,35.980000000000004,-6.380000000000003,False
HDFCBANK,HDFC Bank Ltd,Financials,7.67,11.713478260869564,-4.0434782608695645,False
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,6.61,11.713478260869564,-5.103478260869564,False
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,29.1,26.38076923076923,2.719230769230773,False
HINDALCO,Hindalco Industries Ltd,Materials,11.3,23.058888888888887,-11.758888888888887,False
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,27.2,50.81142857142857,-23.611428571428572,True
ICICIBANK,ICICI Bank Ltd,Financials,7.6,11.713478260869564,-4.113478260869565,False
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,22.5,11.713478260869564,10.786521739130436,False
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,8.75,11.713478260869564,-2.9634782608695645,False
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,24.5,26.38076923076923,-1.8807692307692285,False
INDUSINDBK,IndusInd Bank Ltd,Financials,7.93,11.713478260869564,-3.7834782608695647,False
INFY,Infosys Ltd,Information Technology,40.0,35.980000000000004,4.019999999999996,False
IOC,"Indian Oil Corporation
",Energy,21.31,21.962142857142855,-0.6521428571428558,False
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,53.8,26.38076923076923,27.41923076923077,True
IRFC,Indian Railway Finance Corporation Ltd,Financials,5.73,11.713478260869564,-5.983478260869564,False
ITC,"ITC Ltd
",Consumer Staples,34.76,50.81142857142857,-16.051428571428573,False
JINDALSTEL,Jindal Steel & Power Ltd,Materials,13.2,23.058888888888887,-9.858888888888888,False
JIOFIN,Jio Financial Services Ltd,Financials,2.16,11.713478260869564,-9.553478260869564,False
JSWENERGY,JSW Energy Ltd,Energy,8.59,21.962142857142855,-13.372142857142855,False
JSWSTEEL,JSW Steel Ltd,Materials,13.36,23.058888888888887,-9.698888888888888,False
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,7.86,11.713478260869564,-3.853478260869564,False
LICI,Life Insurance Corporation of India,Financials,63.79,11.713478260869564,52.076521739130435,True
LODHA,Macrotech Developers Ltd,Real Estate,11.1,8.42,2.6799999999999997,False
LT,Larsen & Toubro Ltd,Industrials,17.18,22.375999999999998,-5.195999999999998,False
LTIM,LTIMindtree Ltd,Information Technology,34.1,35.980000000000004,-1.8800000000000026,False
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,26.98,26.38076923076923,0.5992307692307719,False
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,23.67,26.38076923076923,-2.710769230769227,False
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,13.7,26.38076923076923,-12.68076923076923,False
NAUKRI,Info Edge (India) Ltd,Communication Services,3.65,8.375,-4.725,False
NESTLEIND,Nestle India Ltd,Consumer Staples,185.43,50.81142857142857,134.61857142857144,True
NHPC,"NHPC Ltd
",Energy,7.67,21.962142857142855,-14.292142857142855,False
NTPC,NTPC Ltd,Energy,10.58,21.962142857142855,-11.382142857142854,False
ONGC,Oil & Natural Gas Corpn Ltd,Energy,19.71,21.962142857142855,-2.2521428571428537,False
PFC,Power Finance Corporation Ltd,Financials,9.96,11.713478260869564,-1.7534782608695636,False
PIDILITIND,Pidilite Industries Ltd,Materials,29.7,23.058888888888887,6.641111111111112,False
PNB,Punjab National Bank,Financials,1.63,11.713478260869564,-10.083478260869565,False
POWERGRID,Power Grid Corporation of India Ltd,Energy,13.2,21.962142857142855,-8.762142857142855,False
RECLTD,REC Ltd,Financials,10.0,11.713478260869564,-1.7134782608695645,False
RELIANCE,"Reliance Industries Ltd
",Energy,9.61,21.962142857142855,-12.352142857142855,False
SBILIFE,SBI Life Insurance Company Ltd,Financials,13.2,11.713478260869564,1.4865217391304348,False
SBIN,State Bank of India,Financials,6.16,11.713478260869564,-5.553478260869564,False
SHREECEM,Shree Cement Ltd,Materials,14.8,23.058888888888887,-8.258888888888887,False
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,11.3,11.713478260869564,-0.41347826086956374,False
SIEMENS,Siemens Ltd,Industrials,25.6,22.375999999999998,3.2240000000000038,False
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,17.3,20.583333333333332,-3.2833333333333314,False
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,10.6,50.81142857142857,-40.21142857142857,True
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,20.1,26.38076923076923,-6.280769230769227,False
TATAPOWER,"Tata Power Company Ltd
",Energy,11.1,21.962142857142855,-10.862142857142855,False
TATASTEEL,"Tata Steel Ltd
",Materials,7.02,23.058888888888887,-16.038888888888888,False
TCS,Tata Consultancy Services Ltd,Information Technology,64.3,35.980000000000004,28.319999999999993,True
TECHM,Tech Mahindra Ltd,Information Technology,11.9,35.980000000000004,-24.080000000000005,True
TITAN,"Titan Company Ltd
",Consumer Discretionary,22.7,26.38076923076923,-3.6807692307692292,False
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,23.2,20.583333333333332,2.616666666666667,False
TRENT,Trent Ltd,Consumer Discretionary,23.8,26.38076923076923,-2.580769230769228,False
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,,26.38076923076923,,False
